,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Nov 20, 2023",234.04,237.10,231.02,235.60,235.60,"115,325,704"
1,"Nov 17, 2023",232.00,237.39,226.54,234.30,234.30,"142,532,800"
2,"Nov 16, 2023",239.49,240.88,230.96,233.59,233.59,"136,816,800"
3,"Nov 15, 2023",239.29,246.70,236.45,242.84,242.84,"150,354,000"
4,"Nov 14, 2023",235.03,238.14,230.72,237.41,237.41,"149,771,600"
5,"Nov 13, 2023",215.60,225.40,211.61,223.71,223.71,"140,447,600"
6,"Nov 10, 2023",210.03,215.38,205.69,214.65,214.65,"130,994,000"
7,"Nov 09, 2023",219.75,220.80,206.68,209.98,209.98,"142,110,500"
8,"Nov 08, 2023",223.15,224.15,217.64,222.11,222.11,"106,584,800"
9,"Nov 07, 2023",219.98,223.12,215.72,222.18,222.18,"116,900,100"
10,"Nov 06, 2023",223.98,226.32,215.00,219.27,219.27,"117,335,800"
11,"Nov 03, 2023",221.15,226.37,218.40,219.96,219.96,"119,281,000"
12,"Nov 02, 2023",212.97,219.20,211.45,218.51,218.51,"125,987,600"
13,"Nov 01, 2023",204.04,205.99,197.85,205.66,205.66,"121,661,700"
14,"Oct 31, 2023",196.12,202.80,194.07,200.84,200.84,"118,068,300"
15,"Oct 30, 2023",209.28,210.88,194.67,197.36,197.36,"136,448,200"
16,"Oct 27, 2023",210.60,212.41,205.77,207.30,207.30,"94,881,200"
17,"Oct 26, 2023",211.32,214.80,204.88,205.76,205.76,"115,112,600"
18,"Oct 25, 2023",215.88,220.10,212.20,212.42,212.42,"107,065,100"
19,"Oct 24, 2023",216.50,222.05,214.11,216.52,216.52,"118,231,100"
20,"Oct 23, 2023",210.00,216.98,202.51,212.08,212.08,"150,683,400"
21,"Oct 20, 2023",217.01,218.86,210.42,211.99,211.99,"137,734,000"
22,"Oct 19, 2023",225.95,230.61,216.78,220.11,220.11,"170,772,700"
23,"Oct 18, 2023",252.70,254.63,242.08,242.68,242.68,"125,147,800"
24,"Oct 17, 2023",250.10,257.18,247.08,254.85,254.85,"93,562,900"
25,"Oct 16, 2023",250.05,255.40,248.48,253.92,253.92,"88,917,200"
26,"Oct 13, 2023",258.90,259.60,250.22,251.12,251.12,"102,073,800"
27,"Oct 12, 2023",262.92,265.41,256.63,258.87,258.87,"111,508,100"
28,"Oct 11, 2023",266.20,268.60,260.90,262.99,262.99,"103,706,300"
29,"Oct 10, 2023",257.75,268.94,257.65,263.62,263.62,"122,656,000"
30,"Oct 09, 2023",255.31,261.36,252.05,259.67,259.67,"101,377,900"
31,"Oct 06, 2023",253.98,261.65,250.65,260.53,260.53,"117,947,000"
32,"Oct 05, 2023",260.00,263.60,256.25,260.05,260.05,"119,159,200"
33,"Oct 04, 2023",248.14,261.86,247.60,261.16,261.16,"129,721,600"
34,"Oct 03, 2023",248.61,250.02,244.45,246.53,246.53,"101,985,300"
35,"Oct 02, 2023",244.81,254.28,242.62,251.60,251.60,"123,810,400"
36,"Sep 29, 2023",250.00,254.77,246.35,250.22,250.22,"128,346,200"
37,"Sep 28, 2023",240.02,247.55,238.65,246.38,246.38,"117,058,900"
38,"Sep 27, 2023",244.26,245.33,234.58,240.50,240.50,"136,597,200"
39,"Sep 26, 2023",242.98,249.55,241.66,244.12,244.12,"101,993,600"
40,"Sep 25, 2023",243.38,247.10,238.31,246.99,246.99,"104,636,600"
41,"Sep 22, 2023",257.40,257.79,244.48,244.88,244.88,"127,524,100"
42,"Sep 21, 2023",257.85,260.86,254.21,255.70,255.70,"119,531,000"
43,"Sep 20, 2023",267.04,273.93,262.46,262.59,262.59,"122,514,600"
44,"Sep 19, 2023",264.35,267.85,261.20,266.50,266.50,"103,704,000"
45,"Sep 18, 2023",271.16,271.44,263.76,265.28,265.28,"101,543,300"
46,"Sep 15, 2023",277.55,278.98,271.00,274.39,274.39,"133,422,800"
47,"Sep 14, 2023",271.32,276.71,270.42,276.04,276.04,"107,709,800"
48,"Sep 13, 2023",270.07,274.98,268.10,271.30,271.30,"111,673,700"
49,"Sep 12, 2023",270.76,278.39,266.60,267.48,267.48,"135,999,900"
50,"Sep 11, 2023",264.27,274.85,260.61,273.58,273.58,"174,667,900"
51,"Sep 08, 2023",251.22,256.52,246.67,248.50,248.50,"118,367,700"
52,"Sep 07, 2023",245.07,252.81,243.27,251.49,251.49,"115,312,900"
53,"Sep 06, 2023",255.14,255.39,245.06,251.92,251.92,"116,959,800"
54,"Sep 05, 2023",245.00,258.00,244.86,256.49,256.49,"129,469,600"
55,"Sep 01, 2023",257.26,259.08,242.01,245.01,245.01,"132,272,500"
56,"Aug 31, 2023",255.98,261.18,255.05,258.08,258.08,"108,861,700"
57,"Aug 30, 2023",254.20,260.51,250.59,256.90,256.90,"121,988,400"
58,"Aug 29, 2023",238.58,257.48,237.77,257.18,257.18,"134,047,600"
59,"Aug 28, 2023",242.58,244.38,235.35,238.82,238.82,"107,673,700"
60,"Aug 25, 2023",231.31,239.00,230.35,238.59,238.59,"106,612,200"
61,"Aug 24, 2023",238.66,238.92,228.18,230.04,230.04,"99,777,400"
62,"Aug 23, 2023",229.34,238.98,229.29,236.86,236.86,"101,077,600"
63,"Aug 22, 2023",240.25,240.82,229.55,233.19,233.19,"130,597,900"
64,"Aug 21, 2023",221.55,232.13,220.58,231.28,231.28,"135,702,700"
65,"Aug 18, 2023",214.12,217.58,212.36,215.49,215.49,"135,813,700"
66,"Aug 17, 2023",226.06,226.74,218.83,219.22,219.22,"120,718,400"
67,"Aug 16, 2023",228.02,233.97,225.38,225.60,225.60,"112,484,500"
68,"Aug 15, 2023",238.73,240.50,232.61,232.96,232.96,"88,197,600"
69,"Aug 14, 2023",235.70,240.66,233.75,239.76,239.76,"98,595,300"
70,"Aug 11, 2023",241.77,243.79,238.02,242.65,242.65,"98,866,600"
71,"Aug 10, 2023",245.40,251.80,243.00,245.34,245.34,"109,498,600"
72,"Aug 09, 2023",250.87,251.10,241.90,242.19,242.19,"101,596,300"
73,"Aug 08, 2023",247.45,250.92,245.01,249.70,249.70,"96,642,200"
74,"Aug 07, 2023",251.45,253.65,242.76,251.45,251.45,"111,097,900"
75,"Aug 04, 2023",260.97,264.77,253.11,253.86,253.86,"99,242,600"
76,"Aug 03, 2023",252.04,260.49,252.00,259.32,259.32,"97,569,100"
77,"Aug 02, 2023",255.57,259.52,250.49,254.11,254.11,"101,752,900"
78,"Aug 01, 2023",266.26,266.47,260.25,261.07,261.07,"83,166,000"
79,"Jul 31, 2023",267.48,269.08,263.78,267.43,267.43,"84,582,200"
80,"Jul 28, 2023",259.86,267.25,258.23,266.44,266.44,"111,446,000"
81,"Jul 27, 2023",268.31,269.13,255.30,255.71,255.71,"103,697,300"
82,"Jul 26, 2023",263.25,268.04,261.75,264.35,264.35,"95,856,200"
83,"Jul 25, 2023",272.38,272.90,265.00,265.28,265.28,"112,757,300"
84,"Jul 24, 2023",255.85,269.85,254.12,269.06,269.06,"136,508,500"
85,"Jul 21, 2023",268.00,268.00,255.80,260.02,260.02,"161,050,100"
